,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
328,SMYRNA,418,-68.1203515,46.1644547,8,14,0,0.363636364,7,15,0,0.318181818,8,14,0,0.363636364,5,17,0,0.227272727,8,14,0,0.363636364
329,SOLON,1076,-69.858391,44.949502,78,76,1,0.506493506,76,79,0,0.490322581,94,61,0,0.606451613,67,88,0,0.432258065,89,66,0,0.574193548
330,SOMERVILLE,565,-69.4889674,44.3092443,34,28,6,0.548387097,27,35,6,0.435483871,33,29,6,0.532258065,27,37,4,0.421875,29,33,6,0.467741935
331,SORRENTO,268,-68.1772341,44.4734117,50,33,0,0.602409639,53,29,1,0.646341463,62,21,0,0.746987952,44,38,1,0.536585366,55,28,0,0.662650602
332,SOUTHPORT,600,-69.6586568,43.8409158,106,57,4,0.650306748,112,53,2,0.678787879,138,25,4,0.846625767,113,51,3,0.68902439,126,38,3,0.768292683
333,SPRINGFIELD,425,-68.1562304,45.376663,17,24,7,0.414634146,14,26,8,0.35,21,19,8,0.525,15,25,8,0.375,20,21,7,0.487804878
334,STACYVILLE,383,-68.4290992,45.8992168,27,23,1,0.54,17,34,0,0.333333333,27,23,1,0.54,19,30,2,0.387755102,17,34,0,0.333333333
335,STANDISH,10099,-70.5509356,43.7355927,550,419,4,0.567595459,547,422,4,0.564499484,691,280,2,0.711637487,478,488,7,0.494824017,605,367,1,0.622427984
336,STARKS,636,-69.9661707,44.7306156,48,43,0,0.527472527,49,42,0,0.538461538,55,35,1,0.611111111,42,49,0,0.461538462,48,43,0,0.527472527
337,STETSON,1190,-69.1431864,44.8919352,91,81,1,0.529069767,71,101,1,0.412790698,99,72,2,0.578947368,65,105,3,0.382352941,80,92,1,0.465116279
338,STEUBEN,1132,-67.9652562,44.5107169,59,60,2,0.495798319,74,46,1,0.616666667,88,32,1,0.733333333,55,64,2,0.462184874,74,46,1,0.616666667
339,STOCKHOLM,232,-68.1394756,47.0422642,56,38,0,0.595744681,62,32,0,0.659574468,69,25,0,0.734042553,50,44,0,0.531914894,66,28,0,0.70212766
340,STONEHAM,248,-70.8125232,44.2503507,14,14,1,0.5,18,11,0,0.620689655,21,8,0,0.724137931,14,14,1,0.5,20,9,0,0.689655172
341,STONINGTON,1032,-68.6666926,44.156192,89,51,3,0.635714286,103,40,0,0.72027972,128,15,0,0.895104895,94,47,2,0.666666667,111,32,0,0.776223776
342,STOW,456,-70.9850708,44.160623,19,22,0,0.463414634,19,22,0,0.463414634,28,13,0,0.682926829,18,22,1,0.45,24,17,0,0.585365854
343,STRONG,1160,-70.2208981,44.8075572,80,94,0,0.459770115,66,108,0,0.379310345,97,77,0,0.557471264,57,116,1,0.329479769,78,96,0,0.448275862
344,SULLIVAN,1266,-68.1518287,44.5265074,110,96,1,0.533980583,105,102,0,0.507246377,143,62,2,0.697560976,84,123,0,0.405797101,119,87,1,0.577669903
345,SUMNER,919,-70.4383944,44.3920113,93,93,1,0.5,75,111,1,0.403225806,112,73,2,0.605405405,80,106,1,0.430107527,91,95,1,0.489247312
346,SURRY,1502,-68.5016874,44.4959099,189,148,4,0.560830861,209,127,5,0.62202381,256,82,3,0.75739645,201,136,4,0.596439169,231,108,2,0.681415929
347,SWANVILLE,1351,-68.9978129,44.5211855,81,89,3,0.476470588,65,105,3,0.382352941,101,70,2,0.590643275,66,103,4,0.390532544,73,98,2,0.426900585
348,SWEDEN,410,-70.8228959,44.133285,40,20,0,0.666666667,46,14,0,0.766666667,51,9,0,0.85,41,19,0,0.683333333,48,12,0,0.8
