,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
270,ORRINGTON,3688,-68.7904626,44.7202096,1063,1331,21,0.444026734,1017,1372,26,0.42570113,810,1580,25,0.338912134,975,1416,24,0.407779172,1034,1326,55,0.438135593,1202,1162,51,0.508460237
271,OSBORN,66,-68.2361132,44.7788954,15,25,1,0.375,16,25,0,0.390243902,9,32,0,0.219512195,15,26,0,0.365853659,13,28,0,0.317073171,18,22,1,0.45
272,OTIS,659,-68.4528017,44.7122953,195,248,6,0.440180587,170,269,10,0.387243736,113,328,8,0.256235828,190,248,11,0.433789954,161,268,20,0.375291375,221,211,17,0.511574074
273,OTISFIELD,1806,-70.5492259,44.0903488,526,553,15,0.487488415,528,549,17,0.490250696,394,691,9,0.363133641,551,529,14,0.510185185,528,530,36,0.49905482,562,505,27,0.526710403
274,OXFORD,4096,-70.4931557,44.1317459,1085,1123,22,0.491394928,1042,1171,17,0.470854044,645,1572,13,0.290933694,1075,1140,15,0.485327314,968,1224,38,0.441605839,1050,1144,36,0.47857794
275,PALERMO,1521,-69.4672352,44.4059902,353,510,27,0.409038239,377,487,26,0.436342593,258,609,23,0.297577855,392,473,25,0.453179191,380,472,38,0.44600939,456,399,35,0.533333333
276,PALMYRA,1975,-69.3586588,44.8464519,455,606,28,0.428840716,441,622,26,0.414863594,228,838,23,0.213883677,477,589,23,0.447467167,394,656,39,0.375238095,537,516,36,0.50997151
277,PARIS,5152,-70.5006152,44.2597917,1342,1364,46,0.495934959,1426,1285,41,0.526005164,984,1733,35,0.362164152,1416,1299,37,0.521546961,1335,1334,83,0.500187336,1515,1167,70,0.564876957
278,PARKMAN,795,-69.4331038,45.1336651,229,261,8,0.467346939,219,272,7,0.446028513,108,383,7,0.219959267,200,288,10,0.409836066,193,289,16,0.400414938,218,270,10,0.446721311
279,PARSONSFIELD,1962,-70.9286755,43.7270214,518,495,14,0.511352419,533,476,18,0.528245788,346,667,14,0.341559724,556,451,20,0.552135055,464,525,38,0.469160768,519,464,44,0.527975585
280,PASSADUMKEAG,358,-68.6166937,45.1853362,84,137,3,0.380090498,83,137,4,0.377272727,38,183,3,0.171945701,77,144,3,0.34841629,84,132,8,0.388888889,88,130,6,0.403669725
281,PATTEN,970,-68.4461424,45.9964392,160,342,9,0.3187251,196,302,13,0.393574297,133,365,13,0.267068273,234,260,17,0.473684211,159,325,27,0.328512397,229,257,25,0.471193416
282,PEMBROKE,788,-67.1619293,44.9536891,222,264,14,0.456790123,231,260,9,0.470468432,158,334,8,0.321138211,283,208,9,0.576374745,224,253,23,0.469601677,278,207,15,0.573195876
283,PENOBSCOT,1222,-68.7111394,44.4645202,409,393,8,0.509975062,368,428,14,0.462311558,361,442,7,0.449564134,472,327,11,0.590738423,412,376,22,0.52284264,484,307,19,0.611883692
284,PERHAM,365,-68.1975086,46.8440085,81,121,5,0.400990099,80,121,6,0.39800995,49,154,4,0.24137931,96,107,4,0.472906404,62,135,10,0.314720812,92,109,6,0.457711443
