,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes,q7yes,q7no,q7blank,q7pyes
215,LIVERMORE,2119,-70.2081176,44.4078297,339,748,25,0.311867525,567,494,51,0.534401508,526,534,52,0.496226415,579,483,50,0.54519774,432,621,59,0.41025641,588,474,50,0.553672316,518,541,53,0.489140699
216,LOVELL,1134,-70.8930466,44.1255995,279,316,6,0.468907563,358,202,41,0.639285714,350,199,52,0.637522769,325,228,48,0.587703436,276,273,52,0.50273224,375,180,46,0.675675676,330,218,53,0.602189781
217,LOWELL,362,-68.4667778,45.1874242,53,135,2,0.281914894,81,97,12,0.45505618,87,91,12,0.488764045,89,90,11,0.497206704,62,115,13,0.350282486,81,97,12,0.45505618,79,99,12,0.443820225
218,LUBEC,1258,-66.9835907,44.8585863,329,393,10,0.45567867,443,263,26,0.627478754,487,210,35,0.698708752,443,260,29,0.630156472,355,339,38,0.511527378,454,252,26,0.64305949,486,222,24,0.686440678
219,LUDLOW,368,-67.957546,46.1480225,70,114,2,0.380434783,88,88,10,0.5,112,64,10,0.636363636,96,82,8,0.539325843,74,104,8,0.415730337,92,86,8,0.516853933,81,96,9,0.457627119
220,LYMAN,4517,-70.6379682,43.5050963,834,1173,47,0.41554559,1171,790,93,0.597144314,1136,810,108,0.583761562,1172,778,104,0.601025641,887,1051,116,0.457688338,1221,729,104,0.626153846,1091,855,108,0.560637205
221,MACHIAS,2027,-67.461376,44.7150789,298,414,30,0.418539326,428,261,53,0.621190131,436,244,62,0.641176471,431,254,57,0.62919708,336,338,68,0.49851632,447,236,59,0.654465593,431,253,58,0.630116959
222,MACHIASPORT,947,-67.3955242,44.6972521,159,276,8,0.365517241,223,188,32,0.542579075,245,171,27,0.588942308,235,173,35,0.575980392,189,213,41,0.470149254,253,164,26,0.606714628,276,136,31,0.669902913
223,MACWAHOC,74,-68.2627986,45.6283921,6,42,1,0.125,31,13,5,0.704545455,29,15,5,0.659090909,29,15,5,0.659090909,18,25,6,0.418604651,28,15,6,0.651162791,27,17,5,0.613636364
224,MADAWASKA,3735,-68.3217027,47.3553154,801,995,44,0.445991091,1134,602,104,0.653225806,1244,496,100,0.714942529,1174,567,99,0.674325101,968,756,116,0.561484919,1304,448,88,0.744292237,1062,672,106,0.612456747
225,MADISON,4620,-69.8797486,44.7975466,733,1205,18,0.378224974,1017,856,83,0.542979178,1092,779,85,0.58364511,1095,780,81,0.584,829,1044,83,0.442605446,1098,776,82,0.585912487,984,881,91,0.527613941
