,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,X,X.1
53,BROOKLIN,812,-68.5691898,44.2661906,150,76,1,0.663716814,167,60,0,0.735682819,188,39,0,0.828193833,NA,
54,BROOKS,1133,-69.120873,44.5503501,57,98,0,0.367741935,94,61,0,0.606451613,92,63,0,0.593548387,NA,
55,BROOKSVILLE,913,-68.6847872,44.3469906,153,84,0,0.64556962,173,63,1,0.733050847,193,44,0,0.814345992,NA,
56,BROWNFIELD,1643,-70.9086768,43.9381275,86,90,1,0.488636364,115,61,1,0.653409091,111,66,0,0.627118644,NA,
57,BROWNVILLE,1187,-69.03339,45.3070685,81,114,2,0.415384615,127,67,3,0.654639175,129,67,1,0.658163265,NA,
58,BRUNSWICK,20535,-69.966996,43.9140162,2358,901,25,0.723534827,2645,614,25,0.81159865,2791,466,27,0.856923549,NA,
59,BUCKFIELD,2041,-70.3653359,44.2895134,97,157,2,0.381889764,134,120,2,0.527559055,148,107,1,0.580392157,NA,
60,BUCKSPORT,4925,-68.7701224,44.6289696,469,510,7,0.479060266,626,355,5,0.638124363,661,317,8,0.675869121,NA,
61,BURLINGTON,457,-68.4266875,45.2092264,17,45,1,0.274193548,35,28,0,0.555555556,41,22,0,0.650793651,NA,
62,BURNHAM,1231,-69.4292308,44.6927723,55,104,0,0.34591195,92,67,0,0.578616352,87,71,1,0.550632911,NA,
63,BUXTON,8327,-70.5189422,43.6378583,440,446,3,0.496613995,582,303,4,0.657627119,581,307,1,0.654279279,NA,
64,BYRON,149,-70.6306241,44.7220034,12,27,0,0.307692308,27,12,0,0.692307692,23,16,0,0.58974359,NA,
65,CALAIS,3005,-67.2786038,45.1889633,176,253,8,0.41025641,306,125,6,0.709976798,337,95,5,0.780092593,NA,
66,CAMBRIDGE,452,-69.4739368,45.0242231,29,85,0,0.254385965,59,55,0,0.51754386,59,55,0,0.51754386,NA,
67,CAMDEN,4783,-69.0647838,44.2097928,834,327,6,0.718346253,926,228,13,0.802426343,1014,141,12,0.877922078,NA,
68,CANAAN,2170,-69.5614376,44.7617295,127,168,2,0.430508475,184,111,2,0.623728814,180,115,2,0.610169492,NA,
69,CANTON,1098,-69.4454689,45.253783,54,69,0,0.43902439,71,52,0,0.577235772,78,45,0,0.634146341,NA,
70,CARATUNK,65,-69.9903474,45.2335733,8,11,0,0.421052632,11,8,0,0.578947368,13,6,0,0.684210526,NA,
71,CARMEL,2845,-69.0511537,44.7975688,136,216,0,0.386363636,202,147,3,0.578796562,214,137,1,0.60968661,NA,
72,CARROLL,146,-68.0366118,45.4144799,8,16,0,0.333333333,10,14,0,0.416666667,9,15,0,0.375,NA,
73,CARTHAGE,542,-70.4734195,44.6240737,24,25,0,0.489795918,34,15,0,0.693877551,29,20,0,0.591836735,NA,
74,CARY,201,-67.8619616,45.995333,6,18,0,0.25,11,13,0,0.458333333,11,13,0,0.458333333,NA,
75,CASCO,3928,-70.5211945,43.969246,205,223,0,0.478971963,288,138,2,0.676056338,299,128,1,0.700234192,NA,
76,CASTINE,992,-68.7989582,44.3888609,223,115,4,0.659763314,247,89,6,0.735119048,287,50,5,0.851632047,NA,
77,CASWELL,282,-67.8644525,46.9811169,26,23,0,0.530612245,39,10,0,0.795918367,37,12,0,0.755102041,NA,
78,CHAPMAN,445,-68.1608669,46.6480974,32,13,0,0.711111111,37,8,0,0.822222222,32,13,0,0.711111111,NA,
79,CHARLESTON,1717,-69.0405949,45.0850615,57,123,0,0.316666667,98,82,0,0.544444444,85,95,0,0.472222222,NA,
80,CHARLOTTE,317,-67.2452664,45.0211881,16,42,1,0.275862069,33,26,0,0.559322034,34,25,0,0.576271186,NA,
81,CHELSEA,2750,-69.7172658,44.2503474,149,147,0,0.503378378,204,91,1,0.691525424,217,79,0,0.733108108,NA,
82,CHERRYFIELD,1161,-67.9258366,44.6072991,68,118,2,0.365591398,123,64,1,0.657754011,124,63,1,0.663101604,NA,
83,CHESTER,525,-68.4997474,45.4086674,27,70,0,0.278350515,48,49,0,0.494845361,56,41,0,0.577319588,NA,
84,CHESTERVILLE,1350,-70.0861692,44.5511745,85,90,0,0.485714286,115,60,0,0.657142857,107,67,1,0.614942529,NA,
85,CHINA,4302,-69.5172641,44.4786791,329,346,4,0.487407407,448,226,5,0.664688427,488,187,4,0.722962963,NA,
86,CLIFTON,905,-68.511138,44.8167372,71,79,0,0.473333333,97,53,0,0.646666667,90,60,0,0.6,NA,
87,CLINTON,3354,-69.5031267,44.637828,188,287,0,0.395789474,340,133,2,0.718816068,325,148,2,0.687103594,NA,
88,COLUMBIA,464,-67.8039998,44.669418,12,43,0,0.218181818,27,28,0,0.490909091,26,29,0,0.472727273,NA,
89,COOPER,145,-67.4397144,44.959521,22,12,0,0.647058824,24,10,0,0.705882353,22,12,0,0.647058824,NA,
90,COPLIN,159,-70.4697339,45.0987282,11,15,0,0.423076923,18,8,0,0.692307692,18,8,0,0.692307692,NA,
91,CORINNA,2141,-69.2617131,44.921174,98,218,0,0.310126582,206,110,0,0.651898734,192,123,1,0.60952381,NA,
92,CORINTH,2804,-68.9991802,44.9861321,111,208,2,0.347962382,186,132,3,0.58490566,178,140,3,0.559748428,NA,
93,CORNISH,1421,-70.8011731,43.8047977,100,74,0,0.574712644,119,55,0,0.683908046,117,55,2,0.680232558,NA,
94,CORNVILLE,1380,-69.6731067,44.8367272,64,90,0,0.415584416,88,66,0,0.571428571,86,68,0,0.558441558,NA,
95,CRAWFORD,96,-67.5513796,45.0528624,6,16,0,0.272727273,10,12,0,0.454545455,14,8,0,0.636363636,NA,
96,CRYSTAL,248,-68.3603059,45.9592186,15,28,0,0.348837209,33,10,0,0.76744186,26,17,0,0.604651163,NA,
97,CUMBERLAND,8208,-70.2585205,43.796573,846,574,9,0.595774648,1010,417,2,0.707778556,1087,338,4,0.762807018,NA,
98,CUSHING,1495,-69.2614502,44.0137798,126,116,1,0.520661157,149,93,1,0.615702479,180,63,0,0.740740741,NA,
99,CUTLER,511,-67.2038737,44.6575794,24,36,0,0.4,26,34,0,0.433333333,27,33,0,0.45,NA,
100,CYR,94,-67.9992115,47.0968485,6,7,0,0.461538462,12,1,0,0.923076923,9,4,0,0.692307692,NA,
101,DALLAS,296,-70.5559011,44.9969997,55,46,0,0.544554455,75,26,0,0.742574257,74,27,0,0.732673267,NA,
102,DAMARISCOTTA,2151,-69.5188885,44.0328765,274,169,3,0.618510158,342,102,2,0.77027027,360,86,0,0.807174888,NA,
103,DAYTON,2082,-70.5704598,43.5358694,103,173,1,0.373188406,170,106,1,0.615942029,173,104,0,0.624548736,NA,
104,DEBLOIS,54,-68.0147304,44.7414636,3,12,0,0.2,10,5,0,0.666666667,12,3,0,0.8,NA,
105,DEDHAM,1670,-68.6582536,44.6931707,108,170,0,0.388489209,164,114,0,0.589928058,172,106,0,0.618705036,NA,
106,DENMARK,1151,-70.8033966,43.9703491,88,107,0,0.451282051,125,70,0,0.641025641,131,64,0,0.671794872,NA,
107,DENNISTOWN,31,-70.2831241,45.6769905,3,3,0,0.5,4,2,0,0.666666667,3,3,0,0.5,NA,
108,DETROIT,827,-69.2960151,44.7927823,39,56,0,0.410526316,53,42,0,0.557894737,59,36,0,0.621052632,NA,
109,DEXTER,3706,-69.2898156,45.023918,201,405,6,0.331683168,379,226,7,0.626446281,387,221,4,0.636513158,NA,
110,DIXFIELD,2486,-70.4563366,44.5313932,87,144,0,0.376623377,149,81,1,0.647826087,153,78,0,0.662337662,NA,
