city,lon,lat,q1pyes,q2pyes,q3pyes,q4pyes,q5pyes
HANOVER,-70.6942351,44.4967315,0.438271605,0.537974684,0.563291139,0.698717949,0.570512821
HARMONY,-69.5461603,44.9739462,0.331828442,0.332541568,0.461716937,0.618266979,0.454117647
HARPSWELL,-69.9598343,43.7864342,0.590610048,0.599938688,0.69118541,0.774750227,0.686298444
HARRINGTON,-67.8109953,44.6193327,0.370860927,0.372413793,0.510250569,0.636986301,0.474770642
HARRISON,-70.6792289,44.1103479,0.524244554,0.456709957,0.5961401,0.675753228,0.551624549
HARTFORD,-70.346726,44.372845,0.393782383,0.363796134,0.561954625,0.657940663,0.514991182
HARTLAND,-69.512853,44.8965211,0.326555024,0.306196841,0.415853659,0.645985401,0.465853659
HAYNESVILLE,-67.9911283,45.8261688,0.224137931,0.379310345,0.49122807,0.672413793,0.526315789
HEBRON,-70.4064465,44.1981261,0.470672389,0.38856305,0.589519651,0.638483965,0.520588235
HERMON,-68.9133724,44.81007,0.381110742,0.376402584,0.478525533,0.681101041,0.504230118
HERSEY,-68.4341636,46.0733805,0.228571429,0.294117647,0.352941176,0.588235294,0.393939394
HIGHLAND,-70.0617497,45.0751866,0.271028037,0.179245283,0.476635514,0.504672897,0.401869159
HIRAM,-70.8322512,43.8350627,0.475862069,0.437229437,0.624641834,0.675250358,0.564028777
HODGDON,-67.8497604,46.0612772,0.208406305,0.329020333,0.438888889,0.630236794,0.47858473
HOLDEN,-68.6789218,44.7528499,0.449245185,0.393157895,0.482613277,0.642894599,0.53298153
HOLLIS,-70.6208974,43.6346754,0.519279128,0.45919244,0.646908316,0.731998296,0.581475129
HOPE,-69.1589421,44.2650248,0.579339723,0.467258602,0.631057269,0.699669967,0.57730812
HOULTON,-67.8402316,46.1261806,0.367134269,0.450476585,0.527490699,0.730627306,0.63583815
HOWLAND,-68.6588563,45.2431227,0.348623853,0.422647528,0.533333333,0.717425432,0.594637224
HUDSON,-68.8805923,45.0011783,0.346414073,0.366946779,0.504189944,0.645340751,0.506276151
INDUSTRY,-70.0599702,44.7473347,0.435555556,0.425925926,0.558558559,0.669662921,0.525
ISLESBORO,-68.9085778,44.2938855,0.657074341,0.547029703,0.640586797,0.584951456,0.626865672
JACKMAN,-70.2521511,45.6240392,0.342629482,0.319755601,0.553752535,0.683026585,0.511247444
JACKSON,-69.1208748,44.6147933,0.447183099,0.405797101,0.572463768,0.630824373,0.518248175
